address,ceref,entityName,entityOtherName,entityType,hasActiveLicence,hasActiveLicenceAmlo,isActiveEo,isCorp,isDeemedLicence,isDeemedLicenceAmlo,isEo,isIndi,isRi,name,nameChi,raDetails,raDetailsAmlo
"{'fullAddress': 'Flat E & F, 18/F Neich Tower, 128 Gloucester Road, Wanchai, Hong Kong', 'fullAddressChin': '香港灣仔告士打道128號祥豐大廈18樓E & F室', 'addrPrin': 'Y', 'centralEntity': None}",BLC898,A-JEX International Asset Management Limited,,,Y,N,,True,N,N,False,False,False,A-JEX International Asset Management Limited,愛建國際資產管理有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Unit 4468, Level 44, Champion Tower, The Executive Centre, 3 Garden Road, Central, Hong Kong, Hong Kong', 'fullAddressChin': 'Unit 4468, Level 44, Champion Tower, The Executive Centre, 3 Garden Road, Central, Hong Kong, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BON951,TSSP Hong Kong (A) Limited,,,Y,N,,True,N,N,False,False,False,TSSP Hong Kong (A) Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
"{'fullAddress': '39 Floor One Island East Taikoo Place, 18 Westlands Road, Quarry Bay, Hong Kong', 'fullAddressChin': '香港鰂魚涌華蘭路18號太古坊港島東中心39樓', 'addrPrin': 'Y', 'centralEntity': None}",AXC846,Sanford C. Bernstein (Hong Kong) Limited,,,Y,N,,True,N,N,False,False,False,Sanford C. Bernstein (Hong Kong) Limited,盛博香港有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
"{'fullAddress': 'Unit 1617, Level 16, Nexxus Building, 41 Connaught Road, Central, Hong Kong', 'fullAddressChin': 'Unit 1617, Level 16, Nexxus Building, 41 Connaught Road, Central, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BQD043,C. Xin Asset Management Limited,,,Y,N,,True,N,N,False,False,False,C. Xin Asset Management Limited,橙信財富有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Suite 4301-4305, 43/F, Jardine House, 1 Connaught Place, Central, Hong Kong, Hong Kong', 'fullAddressChin': 'Suite 4301-4305, 43/F, Jardine House, 1 Connaught Place, Central, Hong Kong, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BTQ256,C Capital Investment Management Limited,,,Y,N,,True,N,N,False,False,False,C Capital Investment Management Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': '3410 Jardine House, 1 Connaught Place, Central, Hong Kong', 'fullAddressChin': '香港中環康樂廣場1號怡和大廈3410室', 'addrPrin': 'Y', 'centralEntity': None}",AKO489,D. Yau and Company Limited,,,Y,N,,True,N,N,False,False,False,D. Yau and Company Limited,達優顧問有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
"{'fullAddress': ""19/F York House, 15 Queen's Road Central, Central, Hong Kong"", 'fullAddressChin': '香港中環15 皇后大道中\n \n15 皇后大道中York House 19樓', 'addrPrin': 'Y', 'centralEntity': None}",APF565,D. E. Shaw & Co. (Asia Pacific) Limited,,,Y,N,,True,N,N,False,False,False,D. E. Shaw & Co. (Asia Pacific) Limited,德劭(亞太)有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Units 01-04, 2F, Hollywood Commercial House, 3-5 Old Bailey Street, Central, Hong Kong', 'fullAddressChin': 'Units 01-04, 2F, Hollywood Commercial House, 3-5 Old Bailey Street, Central, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",BAS383,Compagnie d'Investissements et de Gestion Privee (H. K.) Ltd,,,Y,N,,True,N,N,False,False,False,Compagnie d'Investissements et de Gestion Privee (Hong Kong) Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Room 1022B, 10/F McDonald Building, No. 46 Yee Wo Street, Causeway Bay, Hong Kong', 'fullAddressChin': '香港銅鑼灣怡和街48號麥當勞大廈10樓1022B室', 'addrPrin': 'Y', 'centralEntity': None}",BFK520,D'Asie Asset Management Limited,,,Y,N,,True,N,N,False,False,False,D'Asie Asset Management Limited,達則資產管理有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': ""19/F York House, 15 Queen's Road Central, Central, Hong Kong"", 'fullAddressChin': '香港中環15 皇后大道中\n \n15 皇后大道中York House 19樓', 'addrPrin': 'Y', 'centralEntity': None}",APF565,D. E. Shaw & Co. (Asia Pacific) Limited,,,Y,N,,True,N,N,False,False,False,D. E. Shaw & Co. (Asia Pacific) Limited,德劭(亞太)有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Suites 3501-02 Two International Finance Centre, 8 Finance Street, Central, Hong Kong', 'fullAddressChin': 'Suites 3501-02 Two International Finance Centre, 8 Finance Street, Central, Hong Kong', 'addrPrin': 'Y', 'centralEntity': None}",ARO593,"E Fund Management (Hong Kong) Co., Limited",,,Y,N,,True,N,N,False,False,False,"E Fund Management (Hong Kong) Co., Limited",易方達資產管理(香港)有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Unit 2812,, One Chinachem Central, 22 Des Voeux Road Central, Central, Hong Kong', 'fullAddressChin': '香港香港中環德輔道中22號華懋中心一期28樓2812室', 'addrPrin': 'Y', 'centralEntity': None}",BPX011,E&P Asia (HK) Limited,,,Y,N,,True,N,N,False,False,False,E&P Asia (HK) Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
"{'fullAddress': 'Room A, 1/Floor, HENNING HOUSE, 385-391 HENNESSY ROAD, WAN CHAI, Hong Kong', 'fullAddressChin': '香港灣仔軒尼詩道385-391號軒寧大廈1樓A室', 'addrPrin': 'Y', 'centralEntity': None}",AAD002,M&F Asset Management Limited,,,Y,N,,True,N,N,False,False,False,M&F Asset Management Limited,渼豐資產管理有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}, {'actType': 9, 'actDesc': 'Asset Management', 'cactDesc': '提供資產管理', 'parentType': None}]",[]
"{'fullAddress': 'Suite 1409, 14/F, North Tower, World Finance Centre, 19 Canton Road, TST, Kowloon, Hong Kong', 'fullAddressChin': '香港九龍尖沙咀廣東道19號環球金融中心北座14樓1409室', 'addrPrin': 'Y', 'centralEntity': None}",AHU779,T G Securities Limited,,,Y,N,,True,N,N,False,False,False,T G Securities Limited,滙澤證券有限公司,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 2, 'actDesc': 'Dealing in Futures Contracts', 'cactDesc': '期貨合約交易', 'parentType': None}]",[]
"{'fullAddress': ""Suite 2905-2906, 29/F, The Center, 99 Queen's Road Central, Central, Hong Kong"", 'fullAddressChin': '香港中環皇后大道中99號中環中心29樓2905-06室', 'addrPrin': 'Y', 'centralEntity': None}",BBU921,G. H. Financials (Hong Kong) Limited,,,Y,N,,True,N,N,False,False,False,G. H. Financials (Hong Kong) Limited,港匯金融(香港)有限公司,"[{'actType': 2, 'actDesc': 'Dealing in Futures Contracts', 'cactDesc': '期貨合約交易', 'parentType': None}]",[]
"{'fullAddress': ""Unit 1002, LHT Tower, 31 Queen's Road Central, Central, Hong Kong"", 'fullAddressChin': '香港中環皇后大道中31號陸海通大廈1002室', 'addrPrin': 'Y', 'centralEntity': None}",BBZ004,M&G Investments (Hong Kong) Limited,,,Y,N,,True,N,N,False,False,False,M&G Investments (Hong Kong) Limited,,"[{'actType': 1, 'actDesc': 'Dealing in Securities', 'cactDesc': '證券交易', 'parentType': None}, {'actType': 4, 'actDesc': 'Advising on Securities', 'cactDesc': '就證券提供意見', 'parentType': None}]",[]
